S.No,Product/Raw Component Name,Detailed Sourcing / Technical Specifications,Qty,Unit,Unit Rate (INR),Total Price (INR)
1.1,Arduino Uno R3 Clone,"CH340G USB controller, SMD type development board + blue USB programming cable (high-grade virgin PCB).",10,Sets,,
1.2,NodeMCU ESP8266,"CP2102 integrated serial chip, ESP-12E Wi-Fi development board + micro-USB cable.",10,Sets,,
1.3,ESP32 Development Board,WROOM-32D / WROOM-32E NodeMCU type 30-pin board with integrated Wi-Fi & Bluetooth.,5,Units,,
1.4,Raspberry Pi Pico,Dual-core ARM Cortex-M0+ RP2040 microcontroller board (standard pins).,10,Units,,
1.5,ESP32-CAM Development Board,ESP32-S module with integrated Wi-Fi + Bluetooth + OV2640 or OV3660 camera board.,10,Sets,,
1.6,ESP32-CAM MB Programmer Shield,Micro-USB programming board shield with CH340 serial chip for ESP32-CAM.,10,Units,,
1.7,External 2.4GHz High-Gain Antenna,External 2.4GHz antenna with IPEX connector (extends video range).,10,Units,,
1.8,Micro-USB & USB-C Programming Cables,"High-durability nylon-braided Micro-USB and USB-C data sync cables (5 units of each), minimum 1.2-meter length.",10,Units,,
2.1,DC BO Gear Motor (Yellow),"Dual-shaft gear motor, 150 RPM, 3V–9V operation, pre-soldered connecting wires (high-grade nylon or metal gears for 2-3 years lifespan).",30,Units,,
2.2,BO Motor Wheel,High-grip rubber tire wheels compatible with BO motor shafts.,60,Units,,
2.3,TowerPro SG90 Servo Motor (180°),9g miniature analog servo motor (180° rotation) with 3 plastic horns and screws.,20,Units,,
2.4,DC Hobby Toy Motor (3V-6V),Standard 3V–6V cylindrical toy DC motor with round shaft (reinforced terminal leads).,20,Units,,
2.5,DC Toy Propeller,4-blade miniature plastic fan propeller (for hobby DC motors).,20,Units,,
2.6,Vibration Coin Pager Motor (3V),3V miniature coin vibration motor (for brush-bots/wobbly bots).,10,Units,,
2.7,5V Mini Submersible Water Pump,Mini DC water pump + 1-meter flexible transparent silicone pipe.,10,Sets,,
2.8,L298N Dual H-Bridge Motor Driver Board,Dual H-Bridge motor controller board with onboard 5V regulator and heatsink.,10,Units,,
3.1,HC-SR04 Ultrasonic Distance Sensor,Non-contact ultrasonic distance sensor module (4-pin trigger/echo).,10,Units,,
3.2,HC-05 Bluetooth Module,Serial RF transceiver module with status LED and break-out pins.,10,Units,,
3.3,TSOP1838 IR Receiver Set,TSOP1838 infrared receiver module + 21-key slim handheld IR Remote controller.,10,Sets,,
3.4,Soil Moisture Sensor,Corrosion-resistant soil hygrometer probe + LM393 comparator driver board.,10,Sets,,
3.5,Rain Sensor Module,Large rain detection nickel board + LM393 control module.,10,Sets,,
3.6,DHT11 Sensor Module,Single-bus digital temperature and relative humidity sensor board.,10,Units,,
3.7,LDR Light Sensor Board,LDR light sensor board with digital comparator output potentiometer adjustment.,10,Units,,
3.8,1-Channel 5V Relay Module,5V relay board with optocoupler high-voltage isolation (for smart appliances control).,10,Units,,
3.9,LCD1602 Display (I2C),16x2 character blue backlight LCD with pre-soldered I2C backpack board.,10,Units,,
3.10,Membrane 4x4 Keypad,16-key matrix flat keypad with female Dupont header socket.,10,Units,,
3.11,MPU6050 Accelerometer/Gyro,3-axis gyro + 3-axis accelerometer sensor module (I2C interface).,10,Units,,
3.12,Neo-6M GPS Module,Neo-6M GPS satellite receiver board with ceramic patch antenna (UART interface).,10,Sets,,
3.13,RFID Card Reader (RC522),13.56MHz RFID SPI reader with keyfob and card standard tags.,2,Sets,,
3.14,MQ-135 Air Quality Sensor,Gas detection sensor board for air quality monitoring.,2,Units,,
3.15,Pulse Rate Sensor,Heartbeat optical pulse detection sensor module.,2,Units,,
3.16,Speaker & Audio Amp,4 Ohm 3W passive speaker + Max983571 I2S class D amplifier board.,2,Sets,,
4.1,18650 Li-ion Battery,"3.7V rechargeable high-discharge lithium batteries (minimum 1500mAh, premium cells).",20,Units,,
4.2,Dual 18650 Battery Holder,2-slot 18650 battery holder case with bare wire leads.,10,Units,,
4.3,9V Alkaline Battery,Standard heavy-duty 9V rectangular batteries.,20,Units,,
4.4,9V Battery Snaps,9V battery connector cap with 2.1mm standard male DC jack lead.,20,Units,,
4.5,AA Battery Holder Case,4-slot AA battery case with built-in slide switch and DC 2.1mm male jack.,20,Units,,
4.6,18650 Li-ion Smart Charger,"4-slot Intelligent USB Smart Charger with LCD display, compatible with 3.7V 18650 batteries, featuring overcharge and short-circuit protection.",2,Units,,
4.7,Female DC Jack to Screw Terminal Adapter,5.5mm x 2.1mm Female DC barrel jack to screw terminal block connectors for battery pack connections.,20,Units,,
5.1,Solderless Breadboard (830),830 tie-point dual bus strip self-adhesive breadboard (premium phosphor bronze contacts).,20,Units,,
5.2,Diffused 5mm LED Assortment,"Diffused 5mm LEDs: 250x Red, 250x Green, 250x Yellow, 50x Blue.",800,Units,,
5.3,RGB LED (5mm),5mm common cathode RGB colorful LED.,20,Units,,
5.4,Active Buzzer (5V),5V magnetic continuous beep active buzzer.,20,Units,,
5.5,Tactile Push Button,6x6mm standard 4-pin tactile momentary micro-switch.,100,Units,,
5.6,Slide Switch,On-Off mini slide switches (SPDT breadboard friendly 2.54mm pitch).,50,Units,,
5.7,BC547 NPN Transistor,TO-92 package general purpose standard transistors.,50,Units,,
5.8,Resistors Assortment Pack,"1/4W carbon film resistors (400x 220R, 200x 1K, 300x 10K, 100x 100K).",1000,Units,,
5.9,Capacitors Mixed Pack,Mixed package containing assorted electrolytic and ceramic capacitors.,4,Packs,,
5.10,Dupont Wires (M-M),"20cm length Male-to-Male jumper breadboard cables (pure copper cores, strain relief, 40-pin ribbons).",1200,Wires,,
5.11,Dupont Wires (M-F),"20cm length Male-to-Female jumper sensor cables (pure copper cores, strain relief, 40-pin ribbons).",1200,Wires,,
5.12,Dupont Wires (F-F),"20cm length Female-to-Female jumper cables (pure copper cores, strain relief, 40-pin ribbons).",400,Wires,,
6.1,ESP32 DevKit V1 (30-pin),WROOM-32 acts as FC + WiFi AP.,10,Units,,
6.2,MPU6050 Gyro + Accel Module,GY-521 breakout I2C interface (SDA/SCL) for angle sensing.,10,Units,,
6.3,Pre-built Motor Driver PCB,Custom PCB with 4x AO3400A MOSFETs + flyback diodes + connectors (our design pre-soldered).,15,Boards,,
6.4,MT3608 Boost Converter,3.7V -> 5V step-up module for ESP32 power.,10,Units,,
6.5,8520 Coreless Brushed Motors,8.5x20mm 3.7V (20x CW + 20x CCW).,40,Units,,
6.6,Spare 8520 Motors,Motors burn out fast keep extras.,20,Units,,
6.7,65mm Propellers,CW + CCW pairs for 8520 motors.,30,Sets,,
6.8,3D Printed Drone Frame,Lightweight quad frame with prop guards (print on Bambu Lab).,15,Frames,,
6.9,3.7V LiPo Battery (500-800mAh),Rechargeable JST PH2.0 connector.,20,Units,,
6.10,1S LiPo Multi-Port USB Charger,6-in-1 charger board.,5,Units,,
6.11,Fireproof LiPo Safety Bag,Fiberglass storage bag.,2,Units,,
6.12,Mounting Tape + Zip Ties + Rubber Bands,Component mounting on frame.,10,Packs,,
7.1,Bambu Lab P1S Combo,"Premium enclosed CoreXY high-speed 3D printer, direct-drive extruder, auto-leveling, and 256x256x256mm build volume.",1,Unit,,
7.2,PLA Filament (1kg Spool),"1.75mm diameter, high-quality PLA spools for 3D printing.",5,Spools,,
7.3,Intelligent 3D Pen Set,"Drawing 3D Printing Pen, low-temperature kid-friendly design, USB powered + power adapter.",10,Sets,,
7.4,3D Pen PLA Filament Loops,"Assorted PLA colors loops pack for 3D pens (pack of 10 loops, 5m each).",10,Packs,,
7.5,Acrylic Smart Chassis Plate Kit,2-wheel laser-cut acrylic base plate + caster wheel + mounting screws/spacers (3mm high-impact acrylic).,10,Sets,,
7.6,Soldering Iron Kit (25W),"25W precision soldering iron, safety stand, solder wire spool, flux paste.",2,Kits,,
7.7,Digital Multimeter DT830D,Handheld digital multimeter for diagnostic measurements.,2,Units,,
7.8,Manual Wire Stripper & Cutter,Handheld self-adjusting wire stripper and cutter.,2,Units,,
7.9,Hot Glue Gun + Sticks,40W high-temperature glue gun + 50 units transparent 11mm glue sticks.,2,Kits,,
7.10,Multipurpose Screwdriver Set,40pc multipurpose magnetic precision screwdriver kit with extension bar.,1,Set,,
7.11,Extension Board,4+1 socket standard extension surge protector cord (minimum 2-meter cord).,4,Units,,
7.12,Multi-compartment organizer plastic boxes,"Multi-compartment plastic organizer storage box (size approx. 10x8x6 in, heavy-duty virgin PP) for grouping modules.",40,Units,,
7.13,Transparent Storage Bin,Medium-sized transparent plastic organizer storage bins with locking clips (virgin PP).,5,Units,,
8.1,Safety Goggles,"Anti-fog, clear splash-proof protection goggles.",10,Units,,
8.2,First Aid Kit,Standard medical emergency aid kit.,1,Kit,,
8.3,Fire Extinguisher,ABC dry chemical powder type fire extinguisher (2kg).,1,Unit,,
8.4,Heat Shrink Tubes & Insulation Tape,Assorted 100pc Heat Shrink Sleeve tube pack (diameter 2mm to 8mm) + 3 rolls of standard black PVC insulation tape.,1,Pack,,
9.1,Perforated Plastic Beams,"Lego-compatible structural beams with holes (various lengths: 5, 7, 9, 11, 15 holes).",400,Units,,
9.2,Friction & Connector Pegs,"Quick-snap connector pins (black friction pegs, grey non-friction pegs, axle pins).",800,Units,,
9.3,Plastic Spur Gears,"Plastic gears of different sizes (8T, 20T, 40T) with cross-axle compatibility.",120,Units,,
9.4,Specialty Gears,Bevel gears (40 units) and Crown gears (40 units) for right-angle rotation.,80,Units,,
9.5,Plastic Pulleys,"Pulleys (small, medium, large) for belt-driven linkages.",60,Units,,
9.6,Drive Belts,Assortment of elastic rubber bands for belt drives.,150,Units,,
9.7,Axles / Shafts,"Steel or hard plastic shafts/axles of various lengths (50mm, 75mm, 100mm, 150mm).",100,Units,,
9.8,High-Grip Wheels,"Medium plastic wheels with high-grip rubber tires, compatible with cross-axles.",40,Units,,
9.9,Axle Locks / Bushings,Plastic bushings/collars to hold gears and wheels securely on shafts.,200,Units,,
9.10,Mechanical Levers / Cams,Asymmetric cam wheels (oval/heart shape) and linkages for motion translation.,40,Units,,
10.1,Friction & Connector Pegs (Kit 1 Extra),"Quick-snap connector pins (black friction pegs, grey non-friction pegs, axle pins) for lost parts.",200,Units,,
10.2,Plastic Spur Gears (Kit 1 Extra),"Lego-compatible plastic spur gears (8T, 20T, 40T) for lost/damaged parts.",30,Units,,
10.3,Drive Belts (Elastic Bands),Extra high-elasticity rubber bands for pulleys.,100,Units,,
10.4,DC BO Gear Motor (Yellow),"Dual-shaft gear motor, 150 RPM, 3V–9V operation, pre-soldered wire leads.",5,Units,,
10.5,DC Hobby Toy Motor (3V-6V),Standard 3V–6V cylindrical toy DC motor with round shaft.,10,Units,,
10.6,DC Toy Propeller,4-blade plastic propellers (for hobby motors).,15,Units,,
10.7,1045 Aerodynamic Propellers (CW/CCW pairs),10-inch plastic propellers (for drone crash replacements).,10,Sets,,
10.8,Tactile Push Button,6x6mm standard 4-pin tactile momentary micro-switch.,30,Units,,
10.9,Mini Slide Switch (SPDT),Slide switches (breadboard friendly 2.54mm pitch) for wear-and-tear replacement.,10,Units,,
10.10,Diffused 5mm LEDs (Assorted Colors),"Red, Green, Yellow, Blue replacement LEDs for burnt-out ones.",100,Units,,
10.11,"Resistors (220 Ohm, 10K Ohm)",Replacement 1/4W carbon film resistors.,100,Units,,
10.12,Dupont Jumper Wires (M-M/M-F Mixed),"20cm length jumper breadboard cables (pure copper cores, strain relief) for broken wire replacement.",200,Wires,,
